timestamp,dpid,bytes_per_sec,packets_per_sec,duration_avg,flow_count,byte_total,packet_total,label
2026-05-13 16:08:42,2,2897459335.6,202784.2,1249.0,1,14487296678,1013921,2
2026-05-13 16:08:42,3,2897459335.6,202784.2,1249.0,1,14487296678,1013921,2
2026-05-13 16:08:42,4,2897459335.6,202784.2,1249.0,1,14487296678,1013921,2
2026-05-13 16:08:47,1,575570656.8,23154.8,1254.0,1,17365149962,1129695,2
2026-05-13 16:08:47,2,575570656.8,23154.8,1254.0,1,17365149962,1129695,2
2026-05-13 16:08:47,3,575570656.8,23154.8,1254.0,1,17365149962,1129695,2
2026-05-13 16:08:47,4,575570656.8,23154.8,1254.0,1,17365149962,1129695,2
2026-05-13 16:08:52,1,285496078.0,31735.0,1259.0,1,18792630352,1288370,2
2026-05-13 16:08:52,2,285496078.0,31735.0,1259.0,1,18792630352,1288370,2
2026-05-13 16:08:52,3,285496078.0,31735.0,1259.0,1,18792630352,1288370,2
2026-05-13 16:08:52,4,285496078.0,31735.0,1259.0,1,18792630352,1288370,2
2026-05-13 16:08:57,1,327839946.8,30051.8,1264.0,1,20431830086,1438629,2
2026-05-13 16:08:57,2,327839946.8,30051.8,1264.0,1,20431830086,1438629,2
2026-05-13 16:08:57,3,327839946.8,30051.8,1264.0,1,20431830086,1438629,2
2026-05-13 16:08:57,4,327839946.8,30051.8,1264.0,1,20431830086,1438629,2
2026-05-13 16:09:02,1,271990278.4,31054.8,1269.0,1,21791781478,1593903,2
2026-05-13 16:09:02,2,271990278.4,31054.8,1269.0,1,21791781478,1593903,2
2026-05-13 16:09:02,3,271990278.4,31054.8,1269.0,1,21791781478,1593903,2
2026-05-13 16:09:02,4,271990278.4,31054.8,1269.0,1,21791781478,1593903,2
2026-05-13 16:09:07,1,111907949.6,36497.6,1274.0,1,22351321226,1776391,2
2026-05-13 16:09:07,2,111907949.6,36497.6,1274.0,1,22351321226,1776391,2
2026-05-13 16:09:07,3,111907949.6,36497.6,1274.0,1,22351321226,1776391,2
2026-05-13 16:09:07,4,111907949.6,36497.6,1274.0,1,22351321226,1776391,2
2026-05-13 16:09:12,1,410608338.4,28716.8,1279.0,1,24404362918,1919975,2
2026-05-13 16:09:12,2,410608338.4,28716.8,1279.0,1,24404362918,1919975,2
2026-05-13 16:09:12,3,410608338.4,28716.8,1279.0,1,24404362918,1919975,2
2026-05-13 16:09:12,4,410608338.4,28716.8,1279.0,1,24404362918,1919975,2
2026-05-13 16:09:17,1,377866941.2,29802.2,1284.0,1,26293697624,2068986,2
2026-05-13 16:09:17,2,402525733.2,32823.8,1284.0,1,26416991584,2084094,2
2026-05-13 16:09:17,3,402199682.4,32820.0,1284.0,1,26415361330,2084075,2
2026-05-13 16:09:17,4,402199682.4,32820.0,1284.0,1,26415361330,2084075,2
2026-05-13 16:09:22,1,340954874.4,35536.0,1290.0,1,27998471996,2246666,2
2026-05-13 16:09:22,2,316296082.4,32514.4,1290.0,1,27998471996,2246666,2
2026-05-13 16:09:22,3,316622133.2,32518.2,1290.0,1,27998471996,2246666,2
2026-05-13 16:09:22,4,316622133.2,32518.2,1289.0,1,27998471996,2246666,2
2026-05-13 16:09:28,1,374400462.0,29779.0,1295.0,1,29870474306,2395561,2
2026-05-13 16:09:28,2,374400462.0,29779.0,1295.0,1,29870474306,2395561,2
2026-05-13 16:09:28,3,374400462.0,29779.0,1295.0,1,29870474306,2395561,2
2026-05-13 16:09:28,4,374400462.0,29779.0,1295.0,1,29870474306,2395561,2
2026-05-13 16:09:33,1,382877187.6,28693.8,1300.0,1,31784860244,2539030,2
2026-05-13 16:09:33,2,382877187.6,28693.8,1300.0,1,31784860244,2539030,2
2026-05-13 16:09:33,3,382877187.6,28693.8,1300.0,1,31784860244,2539030,2
2026-05-13 16:09:33,4,382877187.6,28693.8,1300.0,1,31784860244,2539030,2
2026-05-13 16:09:38,1,405940998.0,27527.0,1305.0,1,33814565234,2676665,2
2026-05-13 16:09:38,2,405940998.0,27527.0,1305.0,1,33814565234,2676665,2
2026-05-13 16:09:38,3,405940998.0,27527.0,1305.0,1,33814565234,2676665,2
2026-05-13 16:09:38,4,405940998.0,27527.0,1305.0,1,33814565234,2676665,2
2026-05-13 16:09:43,1,338099372.0,29062.0,1310.0,1,35505062094,2821975,2
2026-05-13 16:09:43,2,338099372.0,29062.0,1310.0,1,35505062094,2821975,2
2026-05-13 16:09:43,3,338099372.0,29062.0,1310.0,1,35505062094,2821975,2
2026-05-13 16:09:43,4,338099372.0,29062.0,1310.0,1,35505062094,2821975,2
2026-05-13 16:09:48,1,354225258.0,29185.4,1315.0,1,37276188384,2967902,2
2026-05-13 16:09:48,2,354225258.0,29185.4,1315.0,1,37276188384,2967902,2
2026-05-13 16:09:48,3,354225258.0,29185.4,1315.0,1,37276188384,2967902,2
2026-05-13 16:09:48,4,354225258.0,29185.4,1315.0,1,37276188384,2967902,2
2026-05-13 16:09:53,1,378951595.6,28546.6,1320.0,1,39170946362,3110635,2
2026-05-13 16:09:53,2,438439670.4,30712.0,1320.0,1,39468386736,3121462,2
2026-05-13 16:09:53,3,438413606.4,30712.0,1320.0,1,39468256416,3121462,2
2026-05-13 16:09:53,4,438413580.0,30711.6,1320.0,1,39468256284,3121460,2
2026-05-13 16:09:58,1,505766572.4,29765.4,1325.0,1,41699779224,3259462,2
2026-05-13 16:09:58,2,446487062.4,27600.8,1325.0,1,41700822048,3259466,2
2026-05-13 16:09:58,3,446265426.0,27599.4,1325.0,1,41699583546,3259459,2
2026-05-13 16:09:58,4,446265452.4,27599.8,1325.0,1,41699583546,3259459,2
2026-05-13 16:10:03,1,278609028.4,32559.0,1330.0,1,43092824366,3422257,2
2026-05-13 16:10:03,2,278400463.6,32558.2,1330.0,1,43092824366,3422257,2
2026-05-13 16:10:03,3,278648164.0,32559.6,1330.0,1,43092824366,3422257,2
2026-05-13 16:10:03,4,278648164.0,32559.6,1330.0,1,43092824366,3422257,2
2026-05-13 16:10:08,1,284764978.0,31434.6,1335.0,1,44516649256,3579430,2
2026-05-13 16:10:08,2,284764978.0,31434.6,1335.0,1,44516649256,3579430,2
2026-05-13 16:10:08,3,284764986.4,31434.8,1335.0,1,44516649298,3579431,2
2026-05-13 16:10:08,4,284764994.8,31435.0,1335.0,1,44516649340,3579432,2
2026-05-13 16:11:15,1,14526055419.6,1051015.8,1402.0,1,72630277098,5255079,3
2026-05-13 16:11:15,2,14526407613.6,1051020.8,1402.0,1,72632038068,5255104,3
